vendor,MYCT,MMIN,MMAX,CACH,CHMIN,CHMAX,ERP
adviser,125.0,256.0,6000.0,256.0,16.0,128.0,199.0
amdahl,29.0,8000.0,32000.0,32.0,8.0,32.0,253.0
amdahl,29.0,8000.0,32000.0,32.0,8.0,32.0,253.0
amdahl,29.0,8000.0,32000.0,32.0,8.0,32.0,253.0
amdahl,29.0,8000.0,16000.0,32.0,8.0,16.0,132.0
amdahl,26.0,8000.0,32000.0,64.0,8.0,32.0,290.0
amdahl,23.0,16000.0,32000.0,64.0,16.0,32.0,381.0
amdahl,23.0,16000.0,32000.0,64.0,16.0,32.0,381.0
amdahl,23.0,16000.0,64000.0,64.0,16.0,32.0,749.0
amdahl,23.0,32000.0,64000.0,128.0,32.0,64.0,1238.0
apollo,400.0,1000.0,3000.0,0.0,1.0,2.0,23.0
apollo,400.0,512.0,3500.0,4.0,1.0,6.0,24.0
basf,60.0,2000.0,8000.0,65.0,1.0,8.0,70.0
basf,50.0,4000.0,16000.0,65.0,1.0,8.0,117.0
bti,350.0,64.0,64.0,0.0,1.0,4.0,15.0
bti,200.0,512.0,16000.0,0.0,4.0,32.0,64.0
burroughs,167.0,524.0,2000.0,8.0,4.0,15.0,23.0
burroughs,143.0,512.0,5000.0,0.0,7.0,32.0,29.0
burroughs,143.0,1000.0,2000.0,0.0,5.0,16.0,22.0
burroughs,110.0,5000.0,5000.0,142.0,8.0,64.0,124.0
burroughs,143.0,1500.0,6300.0,0.0,5.0,32.0,35.0
burroughs,143.0,3100.0,6200.0,0.0,5.0,20.0,39.0
burroughs,143.0,2300.0,6200.0,0.0,6.0,64.0,40.0
burroughs,110.0,3100.0,6200.0,0.0,6.0,64.0,45.0
c.r.d,320.0,128.0,6000.0,0.0,1.0,12.0,28.0
c.r.d,320.0,512.0,2000.0,4.0,1.0,3.0,21.0
c.r.d,320.0,256.0,6000.0,0.0,1.0,6.0,28.0
c.r.d,320.0,256.0,3000.0,4.0,1.0,3.0,22.0
c.r.d,320.0,512.0,5000.0,4.0,1.0,5.0,28.0
c.r.d,320.0,256.0,5000.0,4.0,1.0,6.0,27.0
cdc,25.0,1310.0,2620.0,131.0,12.0,24.0,102.0
cdc,25.0,1310.0,2620.0,131.0,12.0,24.0,102.0
cdc,50.0,2620.0,10480.0,30.0,12.0,24.0,74.0
cdc,50.0,2620.0,10480.0,30.0,12.0,24.0,74.0
cdc,56.0,5240.0,20970.0,30.0,12.0,24.0,138.0
cdc,64.0,5240.0,20970.0,30.0,12.0,24.0,136.0
cdc,50.0,500.0,2000.0,8.0,1.0,4.0,23.0
cdc,50.0,1000.0,4000.0,8.0,1.0,5.0,29.0
cdc,50.0,2000.0,8000.0,8.0,1.0,5.0,44.0
cambex,50.0,1000.0,4000.0,8.0,3.0,5.0,30.0
cambex,50.0,1000.0,8000.0,8.0,3.0,5.0,41.0
cambex,50.0,2000.0,16000.0,8.0,3.0,5.0,74.0
cambex,50.0,2000.0,16000.0,8.0,3.0,6.0,74.0
cambex,50.0,2000.0,16000.0,8.0,3.0,6.0,74.0
dec,133.0,1000.0,12000.0,9.0,3.0,12.0,54.0
dec,133.0,1000.0,8000.0,9.0,3.0,12.0,41.0
dec,810.0,512.0,512.0,8.0,1.0,1.0,18.0
dec,810.0,1000.0,5000.0,0.0,1.0,1.0,28.0
dec,320.0,512.0,8000.0,4.0,1.0,5.0,36.0
dec,200.0,512.0,8000.0,8.0,1.0,8.0,38.0
dg,700.0,384.0,8000.0,0.0,1.0,1.0,34.0
dg,700.0,256.0,2000.0,0.0,1.0,1.0,19.0
dg,140.0,1000.0,16000.0,16.0,1.0,3.0,72.0
dg,200.0,1000.0,8000.0,0.0,1.0,2.0,36.0
dg,110.0,1000.0,4000.0,16.0,1.0,2.0,30.0
dg,110.0,1000.0,12000.0,16.0,1.0,2.0,56.0
dg,220.0,1000.0,8000.0,16.0,1.0,2.0,42.0
formation,800.0,256.0,8000.0,0.0,1.0,4.0,34.0
formation,800.0,256.0,8000.0,0.0,1.0,4.0,34.0
formation,800.0,256.0,8000.0,0.0,1.0,4.0,34.0
formation,800.0,256.0,8000.0,0.0,1.0,4.0,34.0
formation,800.0,256.0,8000.0,0.0,1.0,4.0,34.0
four-phase,125.0,512.0,1000.0,0.0,8.0,20.0,19.0
gould,75.0,2000.0,8000.0,64.0,1.0,38.0,75.0
gould,75.0,2000.0,16000.0,64.0,1.0,38.0,113.0
gould,75.0,2000.0,16000.0,128.0,1.0,38.0,157.0
hp,90.0,256.0,1000.0,0.0,3.0,10.0,18.0
hp,105.0,256.0,2000.0,0.0,3.0,10.0,20.0
hp,105.0,1000.0,4000.0,0.0,3.0,24.0,28.0
hp,105.0,2000.0,4000.0,8.0,3.0,19.0,33.0
hp,75.0,2000.0,8000.0,8.0,3.0,24.0,47.0
hp,75.0,3000.0,8000.0,8.0,3.0,48.0,54.0
hp,175.0,256.0,2000.0,0.0,3.0,24.0,20.0
harris,300.0,768.0,3000.0,0.0,6.0,24.0,23.0
harris,300.0,768.0,3000.0,6.0,6.0,24.0,25.0
harris,300.0,768.0,12000.0,6.0,6.0,24.0,52.0
harris,300.0,768.0,4500.0,0.0,1.0,24.0,27.0
harris,300.0,384.0,12000.0,6.0,1.0,24.0,50.0
harris,300.0,192.0,768.0,6.0,6.0,24.0,18.0
harris,180.0,768.0,12000.0,6.0,1.0,31.0,53.0
honeywell,330.0,1000.0,3000.0,0.0,2.0,4.0,23.0
honeywell,300.0,1000.0,4000.0,8.0,3.0,64.0,30.0
honeywell,300.0,1000.0,16000.0,8.0,2.0,112.0,73.0
honeywell,330.0,1000.0,2000.0,0.0,1.0,2.0,20.0
honeywell,330.0,1000.0,4000.0,0.0,3.0,6.0,25.0
