CheckingAccount,Duration,CreditHistory,Purpose,CreditAmount,SavingsAccount,YearsEmployed,InstallmentRate,PersonalStatus,OtherDebtors,ResidentSince,Property,Age,OtherPlans,Housing,NumCreditsAtBank,Job,Dependents,Telephone,Foreign,Approve
<0,0.0,ok,furniture,-1000000000.0,unknown,unemployed,-10000.0,female_single,none,0.0,car,-293.0,none,own,-1000.0,skilled,-185.0,yes,no,good
<0,6.0,critical,television,1169.0,unknown,>=7,4.0,male_single,none,4.0,real_estate,67.0,none,own,2.0,skilled,1.0,yes,yes,good
<200,48.0,ok_til_now,television,5951.0,<100,<4,2.0,female,none,2.0,real_estate,22.0,none,own,1.0,skilled,1.0,no,yes,bad
none,12.0,critical,education,2096.0,<100,<7,2.0,male_single,none,3.0,real_estate,49.0,none,own,1.0,unskilled,2.0,no,yes,good
<0,42.0,ok_til_now,furniture,7882.0,<100,<7,2.0,male_single,guarantor,4.0,savings,45.0,none,free,1.0,skilled,2.0,no,yes,good
<0,24.0,past_delays,car_new,4870.0,<100,<4,3.0,male_single,none,4.0,unknown,53.0,none,free,2.0,skilled,2.0,no,yes,bad
none,36.0,ok_til_now,education,9055.0,unknown,<4,2.0,male_single,none,4.0,unknown,35.0,none,free,1.0,unskilled,2.0,yes,yes,good
none,24.0,ok_til_now,furniture,2835.0,<1000,>=7,3.0,male_single,none,4.0,savings,53.0,none,own,1.0,skilled,1.0,no,yes,good
<200,36.0,ok_til_now,car_used,6948.0,<100,<4,2.0,male_single,none,2.0,car,35.0,none,rent,1.0,management,1.0,yes,yes,good
none,12.0,ok_til_now,television,3059.0,>=1000,<7,2.0,male_divorced,none,4.0,real_estate,61.0,none,own,1.0,unskilled,1.0,no,yes,good
<200,30.0,critical,car_new,5234.0,<100,unemployed,4.0,male_married,none,2.0,car,28.0,none,own,2.0,management,1.0,no,yes,bad
<200,12.0,ok_til_now,car_new,1295.0,<100,<1,3.0,female,none,1.0,car,25.0,none,rent,1.0,skilled,1.0,no,yes,bad
<0,48.0,ok_til_now,business,4308.0,<100,<1,3.0,female,none,4.0,savings,24.0,none,rent,1.0,skilled,1.0,no,yes,bad
<200,12.0,ok_til_now,television,1567.0,<100,<4,1.0,female,none,1.0,car,22.0,none,own,1.0,skilled,1.0,yes,yes,good
<0,24.0,critical,car_new,1199.0,<100,>=7,4.0,male_single,none,4.0,car,60.0,none,own,2.0,unskilled,1.0,no,yes,bad
<0,15.0,ok_til_now,car_new,1403.0,<100,<4,2.0,female,none,4.0,car,28.0,none,rent,1.0,skilled,1.0,no,yes,good
<0,24.0,ok_til_now,television,1282.0,<500,<4,4.0,female,none,2.0,car,32.0,none,own,1.0,unskilled,1.0,no,yes,bad
none,24.0,critical,television,2424.0,unknown,>=7,4.0,male_single,none,4.0,savings,53.0,none,own,2.0,skilled,1.0,no,yes,good
<0,30.0,ok,business,8072.0,unknown,<1,2.0,male_single,none,3.0,car,25.0,bank,own,3.0,skilled,1.0,no,yes,good
<200,24.0,ok_til_now,car_used,12579.0,<100,>=7,4.0,female,none,2.0,unknown,44.0,none,free,1.0,management,1.0,yes,yes,bad
none,24.0,ok_til_now,television,3430.0,<1000,>=7,3.0,male_single,none,2.0,car,31.0,none,own,1.0,skilled,2.0,yes,yes,good
none,9.0,critical,car_new,2134.0,<100,<4,4.0,male_single,none,4.0,car,48.0,none,own,3.0,skilled,1.0,yes,yes,good
<0,6.0,ok_til_now,television,2647.0,<1000,<4,2.0,male_single,none,3.0,real_estate,44.0,none,rent,1.0,skilled,2.0,no,yes,good
<0,10.0,critical,car_new,2241.0,<100,<1,1.0,male_single,none,3.0,real_estate,48.0,none,rent,2.0,unskilled,2.0,no,no,good
<200,12.0,critical,car_used,1804.0,<500,<1,3.0,male_single,none,4.0,savings,44.0,none,own,1.0,skilled,1.0,no,yes,good
none,10.0,critical,furniture,2069.0,unknown,<4,2.0,male_married,none,1.0,car,26.0,none,own,2.0,skilled,1.0,no,no,good
<0,6.0,ok_til_now,furniture,1374.0,<100,<4,1.0,male_single,none,2.0,real_estate,36.0,bank,own,1.0,unskilled,1.0,yes,yes,good
none,6.0,ok,television,426.0,<100,>=7,4.0,male_married,none,4.0,car,39.0,none,own,1.0,unskilled,1.0,no,yes,good
>=200,12.0,ok_at_this_bank,television,409.0,>=1000,<4,3.0,female,none,3.0,real_estate,42.0,none,rent,2.0,skilled,1.0,no,yes,good
<200,7.0,ok_til_now,television,2415.0,<100,<4,3.0,male_single,guarantor,2.0,real_estate,34.0,none,own,1.0,skilled,1.0,no,yes,good
<0,60.0,past_delays,business,6836.0,<100,>=7,3.0,male_single,none,4.0,unknown,63.0,none,own,2.0,skilled,1.0,yes,yes,bad
<200,18.0,ok_til_now,business,1913.0,>=1000,<1,3.0,male_married,none,3.0,real_estate,36.0,bank,own,1.0,skilled,1.0,yes,yes,good
<0,24.0,ok_til_now,furniture,4020.0,<100,<4,2.0,male_single,none,2.0,car,27.0,stores,own,1.0,skilled,1.0,no,yes,good
<200,18.0,ok_til_now,car_new,5866.0,<500,<4,2.0,male_single,none,2.0,car,30.0,none,own,2.0,skilled,1.0,yes,yes,good
none,12.0,critical,business,1264.0,unknown,>=7,4.0,male_single,none,4.0,unknown,57.0,none,rent,1.0,unskilled,1.0,no,yes,good
>=200,12.0,ok_til_now,furniture,1474.0,<100,<1,4.0,female,none,1.0,savings,33.0,bank,own,1.0,management,1.0,yes,yes,good
<200,45.0,critical,television,4746.0,<100,<1,4.0,male_single,none,2.0,savings,25.0,none,own,2.0,unskilled,1.0,no,yes,bad
none,48.0,critical,education,6110.0,<100,<4,1.0,male_single,none,3.0,unknown,31.0,bank,free,1.0,skilled,1.0,yes,yes,good
>=200,18.0,ok_til_now,television,2100.0,<100,<4,4.0,male_single,co,2.0,real_estate,37.0,stores,own,1.0,skilled,1.0,no,yes,bad
>=200,10.0,ok_til_now,appliances,1225.0,<100,<4,2.0,male_single,none,2.0,car,37.0,none,own,1.0,skilled,1.0,yes,yes,good
<200,9.0,ok_til_now,television,458.0,<100,<4,4.0,male_single,none,3.0,real_estate,24.0,none,own,1.0,skilled,1.0,no,yes,good
none,30.0,ok_til_now,television,2333.0,<1000,>=7,4.0,male_single,none,2.0,car,30.0,bank,own,1.0,management,1.0,no,yes,good
<200,12.0,ok_til_now,television,1158.0,<1000,<4,3.0,male_divorced,none,1.0,car,26.0,none,own,1.0,skilled,1.0,yes,yes,good
<200,18.0,past_delays,repairs,6204.0,<100,<4,2.0,male_single,none,4.0,real_estate,44.0,none,own,1.0,unskilled,2.0,yes,yes,good
<0,30.0,critical,car_used,6187.0,<500,<7,1.0,male_married,none,4.0,car,24.0,none,rent,2.0,skilled,1.0,no,yes,good
<0,48.0,critical,car_used,6143.0,<100,>=7,4.0,female,none,4.0,unknown,58.0,stores,free,2.0,unskilled,1.0,no,yes,bad
none,11.0,critical,car_new,1393.0,<100,<1,4.0,female,none,4.0,car,35.0,none,own,2.0,management,1.0,no,yes,good
none,36.0,ok_til_now,television,2299.0,<1000,>=7,4.0,male_single,none,4.0,car,39.0,none,own,1.0,skilled,1.0,no,yes,good
<0,6.0,ok_til_now,car_used,1352.0,<1000,unemployed,1.0,female,none,2.0,savings,23.0,none,rent,1.0,unemployed,1.0,yes,yes,good
none,11.0,critical,car_new,7228.0,<100,<4,1.0,male_single,none,4.0,savings,39.0,none,own,2.0,unskilled,1.0,no,yes,good
none,12.0,ok_til_now,television,2073.0,<500,<4,4.0,female,co,2.0,real_estate,28.0,none,own,1.0,skilled,1.0,no,yes,good
<200,24.0,past_delays,furniture,2333.0,unknown,<1,4.0,male_single,none,2.0,savings,29.0,bank,own,1.0,unskilled,1.0,no,yes,good
<200,27.0,past_delays,car_used,5965.0,<100,>=7,1.0,male_single,none,2.0,car,30.0,none,own,2.0,management,1.0,yes,yes,good
none,12.0,ok_til_now,television,1262.0,<100,<4,3.0,male_single,none,2.0,car,25.0,none,own,1.0,skilled,1.0,no,yes,good
none,18.0,ok_til_now,car_used,3378.0,unknown,<4,2.0,male_single,none,1.0,savings,31.0,none,own,1.0,skilled,1.0,yes,yes,good
<200,36.0,past_delays,car_new,2225.0,<100,>=7,4.0,male_single,none,4.0,unknown,57.0,bank,free,2.0,skilled,1.0,yes,yes,bad
none,6.0,ok_at_this_bank,car_new,783.0,unknown,<4,1.0,male_single,guarantor,2.0,real_estate,26.0,stores,own,1.0,unskilled,2.0,no,yes,good
<200,12.0,ok_til_now,television,6468.0,unknown,unemployed,2.0,male_single,none,1.0,unknown,52.0,none,own,1.0,management,1.0,yes,yes,bad
none,36.0,critical,television,9566.0,<100,<4,2.0,female,none,2.0,car,31.0,stores,own,2.0,skilled,1.0,no,yes,good
>=200,18.0,ok_til_now,car_new,1961.0,<100,>=7,3.0,female,none,2.0,car,23.0,none,own,1.0,management,1.0,no,yes,good
<0,36.0,critical,furniture,6229.0,<100,<1,4.0,female,co,4.0,unknown,23.0,none,rent,2.0,unskilled,1.0,yes,yes,bad
<200,9.0,ok_til_now,business,1391.0,<100,<4,2.0,male_married,none,1.0,real_estate,27.0,bank,own,1.0,skilled,1.0,yes,yes,good
<200,15.0,critical,television,1537.0,unknown,>=7,4.0,male_single,guarantor,4.0,real_estate,50.0,none,own,2.0,skilled,1.0,yes,yes,good
<200,36.0,ok,business,1953.0,<100,>=7,4.0,male_single,none,4.0,unknown,61.0,none,free,1.0,management,1.0,yes,yes,bad
<200,48.0,ok,business,14421.0,<100,<4,2.0,male_single,none,2.0,car,25.0,none,own,1.0,skilled,1.0,yes,yes,bad
none,24.0,ok_til_now,television,3181.0,<100,<1,4.0,female,none,4.0,savings,26.0,none,own,1.0,skilled,1.0,yes,yes,good
none,27.0,ok_til_now,repairs,5190.0,unknown,>=7,4.0,male_single,none,4.0,savings,48.0,none,own,4.0,skilled,2.0,yes,yes,good
none,12.0,ok_til_now,television,2171.0,<100,<1,2.0,female,none,2.0,car,29.0,bank,own,1.0,skilled,1.0,no,yes,good
<200,12.0,ok_til_now,car_new,1007.0,>=1000,<4,4.0,male_married,none,1.0,real_estate,22.0,none,own,1.0,skilled,1.0,no,yes,good
none,36.0,ok_til_now,education,1819.0,<100,<4,4.0,male_single,none,4.0,unknown,37.0,stores,free,1.0,skilled,1.0,yes,yes,bad
none,36.0,ok_til_now,television,2394.0,unknown,<4,4.0,female,none,4.0,car,25.0,none,own,1.0,skilled,1.0,no,yes,good
none,36.0,ok_til_now,car_used,8133.0,<100,<4,1.0,female,none,2.0,savings,30.0,bank,own,1.0,skilled,1.0,no,yes,good
none,7.0,critical,television,730.0,unknown,>=7,4.0,male_single,none,2.0,savings,46.0,none,rent,2.0,unskilled,1.0,yes,yes,good
<0,8.0,critical,others,1164.0,<100,>=7,3.0,male_single,none,4.0,unknown,51.0,bank,free,2.0,management,2.0,yes,yes,good
<200,42.0,critical,business,5954.0,<100,<7,2.0,female,none,1.0,real_estate,41.0,bank,own,2.0,unskilled,1.0,no,yes,good
<0,36.0,ok_til_now,education,1977.0,unknown,>=7,4.0,male_single,none,4.0,unknown,40.0,none,own,1.0,management,1.0,yes,yes,bad
<0,12.0,critical,car_used,1526.0,<100,>=7,4.0,male_single,none,4.0,unknown,66.0,none,free,2.0,management,1.0,no,yes,good
<0,42.0,ok_til_now,television,3965.0,<100,<1,4.0,male_single,none,3.0,car,34.0,none,own,1.0,skilled,1.0,no,yes,bad
<200,11.0,past_delays,television,4771.0,<100,<7,2.0,male_single,none,4.0,savings,51.0,none,own,1.0,skilled,1.0,no,yes,good
none,54.0,ok,car_used,9436.0,unknown,<4,2.0,male_single,none,2.0,savings,39.0,none,own,1.0,unskilled,2.0,no,yes,good
<200,30.0,ok_til_now,furniture,3832.0,<100,<1,2.0,male_married,none,1.0,savings,22.0,none,own,1.0,skilled,1.0,no,yes,good
none,24.0,ok_til_now,television,5943.0,unknown,<1,1.0,female,none,1.0,car,44.0,none,own,2.0,skilled,1.0,yes,yes,bad
none,15.0,ok_til_now,television,1213.0,<1000,>=7,4.0,male_single,none,3.0,savings,47.0,stores,own,1.0,skilled,1.0,yes,yes,good
none,18.0,ok_til_now,business,1568.0,<500,<4,3.0,female,none,4.0,savings,24.0,none,rent,1.0,unskilled,1.0,no,yes,good
<0,24.0,ok_til_now,others,1755.0,<100,>=7,4.0,female,guarantor,4.0,real_estate,58.0,none,own,1.0,unskilled,1.0,yes,yes,good
<0,10.0,ok_til_now,television,2315.0,<100,>=7,3.0,male_single,none,4.0,real_estate,52.0,none,own,1.0,unskilled,1.0,no,yes,good
none,12.0,critical,business,1412.0,<100,<4,4.0,female,guarantor,2.0,real_estate,29.0,none,own,2.0,management,1.0,yes,yes,good
<200,18.0,critical,furniture,1295.0,<100,<1,4.0,female,none,1.0,savings,27.0,none,own,2.0,skilled,1.0,no,yes,good
<200,36.0,ok_til_now,education,12612.0,<500,<4,1.0,male_single,none,4.0,unknown,47.0,none,free,1.0,skilled,2.0,yes,yes,bad
<0,18.0,ok_til_now,car_new,2249.0,<500,<7,4.0,male_single,none,3.0,car,30.0,none,own,1.0,management,2.0,yes,yes,good
<0,12.0,ok,repairs,1108.0,<100,<7,4.0,male_single,none,3.0,real_estate,28.0,none,own,2.0,skilled,1.0,no,yes,bad
none,12.0,critical,television,618.0,<100,>=7,4.0,male_single,none,4.0,real_estate,56.0,none,own,1.0,skilled,1.0,no,yes,good
<0,12.0,critical,car_used,1409.0,<100,>=7,4.0,male_single,none,3.0,real_estate,54.0,none,own,1.0,skilled,1.0,no,yes,good
none,12.0,critical,television,797.0,unknown,>=7,4.0,female,none,3.0,savings,33.0,bank,own,1.0,unskilled,2.0,no,yes,bad
>=200,24.0,critical,furniture,3617.0,unknown,>=7,4.0,male_single,co,4.0,unknown,20.0,none,rent,2.0,skilled,1.0,no,yes,good
<200,12.0,ok_til_now,car_new,1318.0,>=1000,>=7,4.0,male_single,none,4.0,real_estate,54.0,none,own,1.0,skilled,1.0,yes,yes,good
<200,54.0,ok,business,15945.0,<100,<1,3.0,male_single,none,4.0,unknown,58.0,none,rent,1.0,skilled,1.0,yes,yes,bad
none,12.0,critical,education,2012.0,unknown,<7,4.0,female,none,2.0,car,61.0,none,own,1.0,skilled,1.0,no,yes,good
<200,18.0,ok_til_now,business,2622.0,<500,<4,4.0,male_single,none,4.0,car,34.0,none,own,1.0,skilled,1.0,no,yes,good
<200,36.0,critical,television,2337.0,<100,>=7,4.0,male_single,none,4.0,real_estate,36.0,none,own,1.0,skilled,1.0,no,yes,good
<200,20.0,past_delays,car_used,7057.0,unknown,<7,3.0,male_single,none,4.0,savings,36.0,bank,rent,2.0,management,2.0,yes,yes,good
none,24.0,ok_til_now,car_new,1469.0,<500,>=7,4.0,male_married,none,4.0,real_estate,41.0,none,rent,1.0,unskilled,1.0,no,yes,good
<200,36.0,ok_til_now,television,2323.0,<100,<7,4.0,male_single,none,4.0,car,24.0,none,rent,1.0,skilled,1.0,no,yes,good
none,6.0,past_delays,television,932.0,<100,<4,3.0,female,none,2.0,real_estate,24.0,none,own,1.0,skilled,1.0,no,yes,good
<200,9.0,critical,furniture,1919.0,<100,<7,4.0,male_single,none,3.0,car,35.0,none,rent,1.0,skilled,1.0,yes,yes,good
none,12.0,ok_til_now,car_used,2445.0,unknown,<1,2.0,male_married,none,4.0,car,26.0,none,rent,1.0,skilled,1.0,yes,yes,good
<200,24.0,critical,others,11938.0,<100,<4,2.0,male_single,co,3.0,car,39.0,none,own,2.0,management,2.0,yes,yes,bad
none,18.0,ok_at_this_bank,car_new,6458.0,<100,>=7,2.0,male_single,none,4.0,unknown,39.0,bank,own,2.0,management,2.0,yes,yes,bad
<200,12.0,ok_til_now,car_new,6078.0,<100,<7,2.0,male_single,none,2.0,car,32.0,none,own,1.0,skilled,1.0,no,yes,good
<0,24.0,ok_til_now,furniture,7721.0,unknown,<1,1.0,female,none,2.0,savings,30.0,none,own,1.0,skilled,1.0,yes,no,good
