engine-power,price
1.0,13950.0
1.0,17450.0
1.0,17710.0
1.0,23875.0
1.0,16430.0
1.0,16925.0
1.0,20970.0
1.0,21105.0
1.0,5151.0
1.0,6295.0
1.0,6575.0
1.0,5572.0
1.0,6377.0
1.0,7957.0
1.0,6229.0
1.0,6692.0
1.0,7609.0
1.0,8921.0
1.0,12964.0
1.0,6479.0
1.0,6855.0
1.0,5399.0
1.0,6529.0
1.0,7129.0
1.0,7295.0
1.0,7295.0
1.0,7895.0
1.0,9095.0
1.0,8845.0
1.0,10295.0
1.0,12945.0
1.0,10345.0
1.0,36250.0
1.0,5195.0
1.0,6095.0
1.0,6795.0
1.0,6695.0
1.0,7395.0
1.0,8845.0
1.0,8495.0
1.0,10595.0
1.0,10245.0
1.0,11245.0
1.0,18280.0
1.0,29552.0
1.0,31248.0
1.0,38176.0
1.0,41600.0
1.0,42056.0
1.0,5389.0
1.0,6189.0
1.0,6669.0
1.0,7689.0
1.0,9959.0
1.0,8499.0
1.0,6989.0
1.0,8189.0
1.0,9279.0
1.0,9279.0
1.0,5499.0
1.0,7099.0
1.0,6649.0
1.0,6849.0
1.0,7349.0
1.0,7299.0
1.0,7799.0
1.0,7499.0
1.0,7999.0
1.0,8249.0
1.0,8949.0
1.0,9549.0
1.0,13499.0
1.0,14399.0
1.0,13499.0
1.0,17199.0
1.0,19699.0
1.0,18399.0
1.0,11900.0
1.0,13200.0
1.0,15580.0
1.0,16900.0
1.0,16630.0
1.0,17950.0
1.0,18150.0
1.0,5572.0
1.0,7957.0
1.0,6229.0
1.0,6692.0
1.0,7609.0
1.0,8921.0
1.0,22018.0
1.0,11850.0
1.0,12170.0
1.0,15040.0
1.0,15510.0
1.0,18150.0
1.0,18620.0
1.0,5118.0
1.0,7053.0
1.0,7603.0
1.0,7126.0
1.0,7775.0
1.0,9960.0
1.0,9233.0
1.0,11259.0
1.0,7463.0
1.0,10198.0
1.0,8013.0
1.0,11694.0
1.0,5348.0
1.0,6338.0
1.0,6488.0
1.0,6918.0
1.0,7898.0
1.0,8778.0
1.0,6938.0
1.0,7198.0
1.0,7898.0
1.0,7788.0
1.0,7738.0
1.0,8358.0
1.0,9258.0
1.0,8058.0
1.0,8238.0
1.0,9298.0
1.0,9538.0
1.0,8449.0
1.0,9639.0
1.0,9989.0
1.0,11199.0
1.0,11549.0
1.0,17669.0
1.0,8948.0
1.0,10698.0
1.0,9988.0
1.0,10898.0
1.0,11248.0
1.0,16558.0
1.0,15998.0
1.0,15690.0
1.0,7775.0
1.0,7975.0
1.0,7995.0
1.0,8195.0
1.0,8495.0
1.0,9495.0
1.0,9995.0
1.0,9980.0
1.0,12940.0
1.0,13415.0
1.0,15985.0
1.0,16515.0
1.0,18420.0
1.0,18950.0
1.0,16845.0
1.0,19045.0
1.0,21485.0
1.0,22470.0
1.0,22625.0
