normalized-losses,make,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,engine-power,peak-rpm,city-mpg,highway-mpg,symboling,mean-effective-pressure,torque,price
164.0,audi,gas,std,4,sedan,fwd,front,99.8,176.6,66.2,54.3,ohc,4,8.85,mpfi,3.19,3.4,10.0,102000.0,5500.0,24.0,30.0,2,40.52,57.68,13950.0
110.0,audi,gas,std,4,sedan,4wd,front,99.4,162.4,66.4,54.3,ohc,5,15.18,mpfi,3.19,3.4,8.0,115000.0,5500.0,18.0,22.0,2,47.39,59.59,17450.0
158.0,audi,gas,std,4,sedan,fwd,front,105.8,192.7,71.4,51.6,ohc,5,15.18,mpfi,3.94,2.8,8.5,70000.0,4400.0,28.0,30.0,1,0.85,3344.79,17710.0
106.0,audi,gas,turbo,4,sedan,fwd,front,86.6,158.7,67.7,55.9,ohc,5,13.74,mpfi,3.13,3.5,7.8,140000.0,5600.0,32.0,20.0,1,44.74,68.97,23875.0
192.0,bmw,gas,std,2,sedan,rwd,front,101.2,176.8,64.8,54.3,ohc,4,8.67,mpfi,3.5,2.8,8.8,101000.0,5800.0,23.0,29.0,2,44.78,53.48,16430.0
194.0,bmw,gas,std,4,sedan,rwd,front,110.0,190.9,71.4,58.7,ohc,4,8.67,mpfi,3.78,3.9,22.5,101000.0,6000.0,47.0,53.0,0,1.8,1330.28,16925.0
188.0,bmw,gas,std,2,sedan,rwd,front,101.2,176.8,64.8,54.3,ohc,6,26.58,mpfi,3.31,3.19,9.0,121000.0,4250.0,21.0,28.0,0,7.19,377.06,20970.0
150.0,bmw,gas,std,4,sedan,rwd,front,101.2,176.8,64.8,56.1,ohc,6,26.58,mpfi,3.03,3.19,8.0,134000.0,4400.0,28.0,37.0,0,57.37,48.2,21105.0
121.0,chevrolet,gas,std,2,hatchback,fwd,front,88.4,141.1,60.3,53.2,l,3,3.39,2bbl,3.03,3.03,9.5,48000.0,5300.0,47.0,53.0,2,59.33,25.08,5151.0
98.0,chevrolet,gas,std,2,hatchback,fwd,front,104.3,155.9,68.3,52.0,ohc,4,6.05,2bbl,3.31,3.47,7.8,70000.0,5000.0,34.0,34.0,1,51.55,36.35,6295.0
93.0,chevrolet,gas,std,4,sedan,fwd,front,94.5,158.8,63.6,52.0,ohc,4,6.05,2bbl,3.03,3.11,9.6,70000.0,5400.0,38.0,43.0,0,65.57,29.11,6575.0
231.0,dodge,gas,std,2,hatchback,fwd,front,113.0,199.6,71.4,59.1,ohc,4,6.05,2bbl,3.78,4.17,9.41,176000.0,6600.0,49.0,54.0,1,93.12,20.15,5572.0
118.0,dodge,gas,std,2,hatchback,fwd,front,93.7,174.6,63.8,49.4,ohc,4,6.05,2bbl,2.97,3.23,21.5,68000.0,5500.0,31.0,38.0,1,12.28,152.8,6377.0
